DATE,LIQUIDITY
2021-08-10T00:00:00Z,452700354109.59906
2021-08-11T00:00:00Z,453918672455.85675
2021-08-12T00:00:00Z,449897505305.1749
2021-08-13T00:00:00Z,455416359292.3627
2021-08-14T00:00:00Z,458427845274.33966
2021-08-15T00:00:00Z,461072103308.7184
2021-08-16T00:00:00Z,464956698614.4547
2021-08-17T00:00:00Z,459482494940.2835
2021-08-18T00:00:00Z,448133246065.73303
2021-08-19T00:00:00Z,250431120306.1011
2021-08-20T00:00:00Z,478067408470.4806
2021-08-21T00:00:00Z,480622720804.5269
2021-08-22T00:00:00Z,475837826212.498
2021-08-23T00:00:00Z,481965507041.7516
2021-08-24T00:00:00Z,479311521097.4018
2021-08-25T00:00:00Z,471121254987.11414
2021-08-26T00:00:00Z,468009641658.8173
2021-08-27T00:00:00Z,471315491650.1645
2021-08-28T00:00:00Z,476203681520.3763
2021-08-29T00:00:00Z,472922042181.83923
2021-08-30T00:00:00Z,477242377328.1649
2021-08-31T00:00:00Z,484665457166.3265
2021-09-01T00:00:00Z,500556313055.5668
2021-09-02T00:00:00Z,515772716321.8626
2021-09-03T00:00:00Z,529390710007.8735
2021-09-04T00:00:00Z,537719223651.8384
2021-09-05T00:00:00Z,541689707603.3868
2021-09-06T00:00:00Z,547300180140.43445
2021-09-07T00:00:00Z,526525417891.7082
2021-09-08T00:00:00Z,501016960202.97986
2021-09-09T00:00:00Z,505369795859.0844
2021-09-10T00:00:00Z,499528504841.95416
2021-09-11T00:00:00Z,494029084079.7583
2021-09-12T00:00:00Z,497878550548.87415
2021-09-13T00:00:00Z,487333974527.78674
2021-09-14T00:00:00Z,474357203206.7191
2021-09-15T00:00:00Z,316291900781.44366
